system:index,ADM0_CODE,ADM0_NAME,DISP_AREA,EXP0_YEAR,STATUS,STR0_YEAR,Shape_Area,Shape_Leng,groups,sum_1,sum_10,sum_11,sum_12,sum_13,sum_14,sum_15,sum_16,sum_17,sum_18,sum_19,sum_2,sum_20,sum_21,sum_22,sum_23,sum_24,sum_25,sum_3,sum_4,sum_5,sum_6,sum_7,sum_8,sum_9,.geo
000000000000000000e2,46,Canada,NO,3000,Member State,1000,1686.48189652,5904.06336998,"[{b1=1, sum=9.51254935375061E8}, {b1=2, sum=1.5352930462435362E9}, {b1=3, sum=1.097769551971064E9}, {b1=4, sum=1.436699002277008E9}, {b1=5, sum=1.499299294608047E9}, {b1=6, sum=1.9029698543612187E9}, {b1=7, sum=1.8466766483341517E9}, {b1=8, sum=1.540801514295044E9}, {b1=9, sum=1.295652356017512E9}, {b1=10, sum=1.8585825681934E9}, {b1=11, sum=2.1414166151649241E9}, {b1=12, sum=3.590950881904311E9}, {b1=13, sum=1.742360041683291E9}, {b1=14, sum=2.3666500560623817E9}, {b1=15, sum=2.4957033164367275E9}, {b1=16, sum=3.4225664815803833E9}, {b1=17, sum=3.588698486899649E9}, {b1=18, sum=2.909546054303505E9}, {b1=19, sum=4.699623552898308E9}, {b1=20, sum=1.6764191047155337E9}, {b1=21, sum=3.4616125832954407E9}, {b1=22, sum=2.6848313586136646E9}, {b1=23, sum=9.10126127880592E9}, {b1=24, sum=8.263544322073476E9}, {b1=25, sum=1.249227405649981E10}]",9.51254935375061E8,1.8585825681934E9,2.1414166151649241E9,3.590950881904311E9,1.742360041683291E9,2.3666500560623817E9,2.4957033164367275E9,3.4225664815803833E9,3.588698486899649E9,2.909546054303505E9,4.699623552898308E9,1.5352930462435362E9,1.6764191047155337E9,3.4616125832954407E9,2.6848313586136646E9,9.10126127880592E9,8.263544322073476E9,1.249227405649981E10,1.097769551971064E9,1.436699002277008E9,1.499299294608047E9,1.9029698543612187E9,1.8466766483341517E9,1.540801514295044E9,1.295652356017512E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e3,46,Canada,NO,3000,Member State,1000,1686.48189652,5904.06336998,"[{b1=1, sum=8.023723768045917E8}, {b1=2, sum=9.01955657321955E8}, {b1=3, sum=5.903024021359371E8}, {b1=4, sum=1.0550552701584584E9}, {b1=5, sum=2.1343719257849069E9}, {b1=6, sum=7.507970672574022E8}, {b1=7, sum=1.0675515263193111E9}, {b1=8, sum=7.502619135718826E8}, {b1=9, sum=6.723477886922139E8}, {b1=10, sum=1.0093031574836887E9}, {b1=11, sum=1.2048100880911012E9}, {b1=12, sum=1.7911400553336208E9}, {b1=13, sum=2.438949812555933E9}, {b1=14, sum=1.358279096533151E9}, {b1=15, sum=1.1911406947963114E9}, {b1=16, sum=1.4769756203852851E9}, {b1=17, sum=1.5919316383387878E9}, {b1=18, sum=1.4721041097743328E9}, {b1=19, sum=1.3342918782709756E9}, {b1=20, sum=1.6437824815036364E9}, {b1=21, sum=1.2981172816484616E9}, {b1=22, sum=1.2769761934946582E9}, {b1=23, sum=5.167554900559492E9}, {b1=24, sum=1.4346801710421185E9}, {b1=25, sum=2.465842407420629E9}]",8.023723768045917E8,1.0093031574836887E9,1.2048100880911012E9,1.7911400553336208E9,2.438949812555933E9,1.358279096533151E9,1.1911406947963114E9,1.4769756203852851E9,1.5919316383387878E9,1.4721041097743328E9,1.3342918782709756E9,9.01955657321955E8,1.6437824815036364E9,1.2981172816484616E9,1.2769761934946582E9,5.167554900559492E9,1.4346801710421185E9,2.465842407420629E9,5.903024021359371E8,1.0550552701584584E9,2.1343719257849069E9,7.507970672574022E8,1.0675515263193111E9,7.502619135718826E8,6.723477886922139E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4,46,Canada,NO,3000,Member State,1000,1686.48189652,5904.06336998,"[{b1=1, sum=0.0}, {b1=2, sum=0.0}, {b1=3, sum=0.0}, {b1=4, sum=0.0}, {b1=5, sum=0.0}, {b1=6, sum=0.0}, {b1=7, sum=0.0}, {b1=8, sum=0.0}, {b1=9, sum=0.0}, {b1=10, sum=0.0}, {b1=11, sum=0.0}, {b1=12, sum=0.0}, {b1=13, sum=0.0}, {b1=14, sum=0.0}, {b1=16, sum=0.0}, {b1=19, sum=0.0}, {b1=20, sum=0.0}, {b1=21, sum=0.0}, {b1=22, sum=0.0}, {b1=24, sum=0.0}, {b1=25, sum=0.0}]",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
