system:index,ADM0_CODE,ADM0_NAME,DISP_AREA,EXP0_YEAR,STATUS,STR0_YEAR,Shape_Area,Shape_Leng,groups,sum_0,sum_1,sum_10,sum_11,sum_12,sum_13,sum_14,sum_15,sum_16,sum_17,sum_18,sum_19,sum_2,sum_20,sum_21,sum_22,sum_23,sum_24,sum_25,sum_3,sum_4,sum_5,sum_6,sum_7,sum_8,sum_9,.geo
000000000000000000e2,46,Canada,NO,3000,Member State,1000,1686.48189652,5904.06336998,"[{b1=0, sum=8.525951258957558E10}, {b1=1, sum=3.228223912441891E9}, {b1=2, sum=5.943173473318827E9}, {b1=3, sum=5.589515481760413E9}, {b1=4, sum=9.92743827143435E9}, {b1=5, sum=9.008437910838558E9}, {b1=6, sum=7.285302370277644E9}, {b1=7, sum=5.197120463314396E9}, {b1=8, sum=5.893173484367817E9}, {b1=9, sum=4.007808182669542E9}, {b1=10, sum=5.871486124458065E9}, {b1=11, sum=7.927448379484566E9}, {b1=12, sum=7.626191821638471E9}, {b1=13, sum=5.070612037683544E9}, {b1=14, sum=6.085987527627712E9}, {b1=15, sum=1.2237554163758356E10}, {b1=16, sum=5.945581220865468E9}, {b1=17, sum=5.960175680068859E9}, {b1=18, sum=7.018051435268367E9}, {b1=19, sum=6.845938909239311E9}, {b1=20, sum=1.6271904617672184E9}, {b1=21, sum=9.474065202070587E9}, {b1=22, sum=7.867384307706153E9}, {b1=23, sum=2.9766836715918568E10}, {b1=24, sum=1.982835433730405E10}, {b1=25, sum=2.919637996819813E10}]",8.525951258957558E10,3.228223912441891E9,5.871486124458065E9,7.927448379484566E9,7.626191821638471E9,5.070612037683544E9,6.085987527627712E9,1.2237554163758356E10,5.945581220865468E9,5.960175680068859E9,7.018051435268367E9,6.845938909239311E9,5.943173473318827E9,1.6271904617672184E9,9.474065202070587E9,7.867384307706153E9,2.9766836715918568E10,1.982835433730405E10,2.919637996819813E10,5.589515481760413E9,9.92743827143435E9,9.008437910838558E9,7.285302370277644E9,5.197120463314396E9,5.893173484367817E9,4.007808182669542E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e3,46,Canada,NO,3000,Member State,1000,1686.48189652,5904.06336998,"[{b1=0, sum=7.862557581363571E10}, {b1=1, sum=4.0382922475913507E8}, {b1=2, sum=4.1575457935742636E9}, {b1=3, sum=1.348408779676814E9}, {b1=4, sum=8.474017576721517E8}, {b1=5, sum=2.9635706887214684E9}, {b1=6, sum=1.3325808564125867E9}, {b1=7, sum=1.4680882145593815E9}, {b1=8, sum=6.869262237257587E8}, {b1=9, sum=9.576945202039745E8}, {b1=10, sum=1.6074069747939346E9}, {b1=11, sum=5.263502380212038E8}, {b1=12, sum=8.033363328416861E8}, {b1=13, sum=6.312101235398318E9}, {b1=14, sum=1.2900355724552922E9}, {b1=15, sum=9.607940748998606E7}, {b1=16, sum=1.45116264469562E8}, {b1=17, sum=2.3251359521670175E8}, {b1=18, sum=3.855295294937162E8}, {b1=19, sum=1.5045687505606374E8}, {b1=20, sum=1.3480095226785576E8}, {b1=21, sum=2.0925266126543042E8}, {b1=22, sum=1.804014139928475E8}, {b1=23, sum=1.2119299746879E10}, {b1=24, sum=1.649896020341925E9}, {b1=25, sum=2.072730340494229E8}]",7.862557581363571E10,4.0382922475913507E8,1.6074069747939346E9,5.263502380212038E8,8.033363328416861E8,6.312101235398318E9,1.2900355724552922E9,9.607940748998606E7,1.45116264469562E8,2.3251359521670175E8,3.855295294937162E8,1.5045687505606374E8,4.1575457935742636E9,1.3480095226785576E8,2.0925266126543042E8,1.804014139928475E8,1.2119299746879E10,1.649896020341925E9,2.072730340494229E8,1.348408779676814E9,8.474017576721517E8,2.9635706887214684E9,1.3325808564125867E9,1.4680882145593815E9,6.869262237257587E8,9.576945202039745E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4,46,Canada,NO,3000,Member State,1000,1686.48189652,5904.06336998,"[{b1=0, sum=281495.6422729492}, {b1=1, sum=106655.63702392578}, {b1=2, sum=122099.5443725586}, {b1=3, sum=67491.38708496094}, {b1=4, sum=82488.99914550781}, {b1=5, sum=53722.58865356445}, {b1=6, sum=76962.65963745117}, {b1=7, sum=76898.67483520508}, {b1=8, sum=64080.73797607422}, {b1=9, sum=102124.7785949707}, {b1=10, sum=62564.65478515625}, {b1=11, sum=21522.568976189108}, {b1=12, sum=57448.00360107422}, {b1=13, sum=12520.477416992188}, {b1=14, sum=0.0}, {b1=16, sum=1396.5527648925781}, {b1=19, sum=0.0}, {b1=20, sum=20997.999633789062}, {b1=21, sum=3222.7901916503906}, {b1=22, sum=2489.9923514571847}, {b1=23, sum=0.0}, {b1=24, sum=1395.4435424804688}, {b1=25, sum=0.0}]",281495.6422729492,106655.63702392578,62564.65478515625,21522.568976189108,57448.00360107422,12520.477416992188,0.0,,1396.5527648925781,,,0.0,122099.5443725586,20997.999633789062,3222.7901916503906,2489.9923514571847,0.0,1395.4435424804688,0.0,67491.38708496094,82488.99914550781,53722.58865356445,76962.65963745117,76898.67483520508,64080.73797607422,102124.7785949707,"{""type"":""MultiPoint"",""coordinates"":[]}"
